Date,"MSFT AAPL_('Close', 'AAPL')","MSFT AAPL_('Close', 'MSFT')","MSFT AAPL_('High', 'AAPL')","MSFT AAPL_('High', 'MSFT')","MSFT AAPL_('Low', 'AAPL')","MSFT AAPL_('Low', 'MSFT')","MSFT AAPL_('Open', 'AAPL')","MSFT AAPL_('Open', 'MSFT')","MSFT AAPL_('Volume', 'AAPL')","MSFT AAPL_('Volume', 'MSFT')"
2024-07-11,226.03480529785156,449.6581726074219,230.82228138425162,459.6263894983609,224.24694518340354,446.54307653601205,229.82902744909742,457.84636046829024,64710600,23111200
2024-07-12,228.9847412109375,448.5209045410156,231.07058040656065,451.2997440970952,227.13728840093884,445.653066550447,227.37567478656334,449.2922544857781,53046500,16324300
2024-07-15,232.81871032714844,448.9263610839844,235.62962070976812,452.1897879047396,231.5175501306247,446.4244156110008,234.88468027763452,448.2736757198333,62631300,14429400
2024-07-16,233.2358856201172,444.53564453125,234.67610072880163,449.26264197328965,230.76267797901863,441.7073711225493,233.41466404542834,449.1835423040314,43234300,17175700
2024-07-17,227.3359375,438.6021423339844,229.89853415546077,439.9174119033302,225.1110435034522,434.3102688250729,227.90208429219518,437.6824616204732,57345900,21778000
2024-07-18,222.6676483154297,435.4870910644531,228.88542732552744,439.71963242472316,220.7705449165008,429.5832863227986,228.7265030667722,439.41307217646386,66034600,20794800
2024-07-19,222.79676818847656,432.26324462890625,225.2699757257536,436.2485883597653,221.7737179376491,427.20991955719455,223.30333735062962,428.297728628943,49151500,20940400
2024-07-22,222.44915771484375,438.028564453125,226.24337986146955,439.6701615477493,221.58501648633228,434.04325138518465,225.47857008869346,436.89132199854777,48201800,15808800
2024-07-23,223.49205017089844,439.9173889160156,225.40903804109774,443.4181448887154,221.17776681088287,438.186793389343,222.8563682936816,438.9779107012884,39960300,13107100
2024-07-24,217.06570434570312,424.1442565917969,223.2834835656707,436.58478368998954,215.66522784122517,422.8487845737653,222.48887740092556,435.5662057633114,61777600,26805800
2024-07-25,216.02279663085938,413.7607116699219,219.36013034825794,425.03430071497604,213.17214762576046,412.8805958173141,217.45306951901438,424.0453888657749,51391200,29943800
2024-07-26,216.48963928222656,420.55450439453125,218.00931662499272,424.1640565570156,214.55278194008886,412.64321010602674,217.22463751115632,413.5629210032518,41601300,23583800
2024-07-29,216.76776123046875,421.9983215332031,217.82060805920165,427.3582063126635,214.29455328225117,419.9908318898155,215.4963973064305,426.7945193727036,36311800,15125800
2024-07-30,217.32395935058594,418.2305603027344,218.84363662609175,424.2925638306224,214.6620309808042,412.7321833431071,217.71132777069818,422.97732451431415,41643800,32687600
2024-07-31,220.5818328857422,413.71124267578125,222.31010016667176,417.10320278469345,219.14161772956027,407.6393099563061,219.94615098169663,415.8373969334193,50036300,42891400
2024-08-01,216.8869171142578,412.4850158691406,222.96562598955987,422.72025976591766,215.5559605569344,408.50960101375034,222.85636745689294,416.12423448921805,62501000,30296400
2024-08-02,218.37680053710938,403.9605407714844,224.0780833133434,410.39836575672,216.24131073912352,399.85656314975535,217.6715836076827,407.91618767034436,105568600,29437900
2024-08-05,207.85826110839844,390.7684631347656,212.0597211288106,396.5931676964823,194.67777677399005,381.3045706583986,197.74692788266515,384.85479031825656,119548600,40709200
2024-08-06,205.83201599121094,395.1790466308594,208.57340664857958,401.17188015725634,199.7135830535153,394.08136897243253,203.91504310362458,395.5647367351895,69660500,24946500
2024-08-07,208.40452575683594,394.0121154785156,212.1987475040528,405.532931744476,204.9976572409954,393.06276861454995,205.50421123787663,404.1089265381238,63516400,20650900
2024-08-08,211.87098693847656,398.2248840332031,212.7549823030523,401.3597174512935,207.42121371107248,395.50537665916386,211.67233918968967,397.97765609010867,47161100,20203000
